Year,Solar,Wind,Small hydro power,Biomass,Biogas,MSW,Large hydro power,Geothermal
2009,37.0,5.1,55.7,1618.1,69.8,6.6,0.0,0.0
2010,48.6,5.6,58.9,1650.2,103.4,13.1,0.0,0.0
2011,78.7,7.3,95.7,1790.2,159.2,25.5,2906.4,0.0
2012,376.7,111.7,101.8,1959.9,193.4,42.7,2906.4,0.0
2013,823.5,222.7,108.8,2320.8,265.7,47.5,2906.4,0.0
2014,1298.5,224.5,142.0,2451.8,311.5,65.7,2906.4,0.0
2015,1419.6,233.9,172.1,2726.6,372.5,131.7,2906.4,0.0
2016,2446.1,507.0,182.1,2814.7,434.9,145.3,2906.4,0.0
2017,2697.2,627.8,182.3,3157.3,475.4,191.5,2906.4,0.0
2018,2962.5,1102.8,187.7,3372.9,505.2,317.8,2919.7,0.3
2019,2982.6,1506.8,187.8,3410.1,530.0,314.7,2919.7,0.3